nickname,nickname_kor,pants,bottom length,pants line,material,fit,waist,pattern,pocket,tpo,sub closet type,style
cargo long pants,카고 긴바지,pants,cropped pants,,,,,,cargo,,,
cargo long pants,카고 긴바지,pants,maxi,,,,,,cargo,,,
cargo long pants,카고 긴바지,pants,cropped pants,,,,,,flap,,,
cargo long pants,카고 긴바지,pants,maxi,,,,,,flap,,,
cargo shorts,카고 반바지,pants,mini,,,,,,cargo,,,
cargo shorts,카고 반바지,pants,half,,,,,,cargo,,,
cargo shorts,카고 7부 바지,pants,3/4,,,,,,cargo,,,
cargo shorts,카고 반바지,pants,mini,,,,,,flap,,,
cargo shorts,카고 반바지,pants,half,,,,,,flap,,,
cargo shorts,카고 7부 바지,pants,3/4,,,,,,flap,,,
bermuda shorts,버뮤다 쇼츠,pants,half,straight,,,,,,,,
bermuda shorts,버뮤다 쇼츠,pants,half,wide leg,,,,,,,,
hot pants,핫팬츠,pants,mini,,,,,,,,,
denim hot pants,데님 핫팬츠,jeans,mini,,denim,,,,,,,
denim shorts,데님 쇼츠,jeans,half,,denim,,,,,,,
formal cropped slacks trousers,크롭 슬렉스,pants,cropped pants,,,,,,,,slacks,
wide leg cropped slacks trousers,와이드 크롭 슬렉스,pants,cropped pants,wide leg,,,,,,,slacks,
slim cropped slacks trousers,슬림 크롭 슬렉스,pants,cropped pants,slim,,,,,,,slacks,
full length slacks trousers,롱 슬렉스,pants,maxi,,,,,,,,slacks,
wide leg full length slacks trousers,와이드 롱 슬렉스,pants,maxi,wide leg,,,,,,,slacks,
slim full length slacks trousers,슬림 롱 슬렉스,pants,maxi,slim,,,,,,,slacks,
wide leg leather pants,와이드 레더 팬츠,pants,maxi,wide leg,leather,,,,,,,
wide leg cropped leather pants,와이드 크롭 레더 팬츠,pants,cropped pants,wide leg,leather,,,,,,,
leather hot pants,레더 핫팬츠,pants,mini,,leather,,,,,,,
leather shorts,레더 쇼츠,pants,half,,leather,,,,,,,
capri pants,"7부 바지, 카프리 팬츠",pants,3/4,,,,,,,,,
knit long pants,니트 롱 팬츠,pants,maxi,,knit,,,,,,,
knit long pants,니트 롱 팬츠,pants,maxi,,ribbed,,,,,,,
knit flare leg trousers,니트 플레어 팬츠,pants,maxi,flared / boot,knit,,,,,,,
knit flare leg cropped trousers,니트 플레어 크롭 팬츠,pants,cropped pants,flared / boot,knit,,,,,,,
knit flare leg trousers,니트 플레어 팬츠,pants,maxi,flared / boot,ribbed,,,,,,,
knit flare leg cropped trousers,니트 플레어 크롭 팬츠,pants,cropped pants,flared / boot,ribbed,,,,,,,
denim pants / jeans,데님 팬츠,jeans,,,denim,,,,,,,
jogger pants,조거팬츠,pants,maxi,jogger,,,,,,,,
jogger pants,조거팬츠,pants,cropped pants,jogger,,,,,,,,
camo half pants,카모 하프 팬츠,pants,half,,,,,camouflage,,,,
camo jogger pants,카모 조거 팬츠,pants,,jogger,,,,camouflage,,,,
sweat pants,스웻 팬츠,pants,maxi,,,,,,,,sweatpants,
sweat cropped pants,스웻 크롭 팬츠,pants,cropped pants,,,,,,,,sweatpants,
sweat jogger pants,스웻 조거 팬츠,pants,,jogger,,,,,,,sweatpants,
leggings,레깅스,leggings,maxi,,,,,,,,,
leggings,레깅스,leggings,cropped pants,,,,,,,,,
sportswear leggings,스포츠 레깅스,leggings,maxi,,,,,,,sport,,
sportswear leggings,스포츠 레깅스,leggings,cropped pants,,,,,,,sport,,
biker shorts,바이커 쇼츠,leggings,half,,,,,,,,,
bootcut pants,부츠컷 팬츠,pants,maxi,flared / boot,,,,,,,,
cropped bootcut pants,부츠컷 크롭 팬츠,pants,cropped pants,flared / boot,,,,,,,,
cropped bootcut pants,부츠컷 크롭 팬츠,pants,3/4,flared / boot,,,,,,,,
sportswear shorts,스포츠 반바지,pants,mini,,,,,,,sport,,
sportswear shorts,스포츠 반바지,pants,half,,,,,,,sport,,
bootcut jeans,부츠컷 진,jeans,maxi,flared / boot,denim,,,,,,,
cropped bootcut jeans,부츠컷 크롭 진,jeans,cropped pants,flared / boot,denim,,,,,,,
cropped bootcut jeans,부츠컷 크롭 진,jeans,3/4,flared / boot,denim,,,,,,,
wide leg jeans,와이드 진,jeans,maxi, wide leg,denim,,,,,,,
wide leg cropped jeans,와이드 크롭 진,jeans,cropped pants,wide leg,denim,,,,,,,
homewear pants,홈웨어 팬츠,pants,,,,,,,,home & lounge,,