nickname,nickname_kor,skirt,bottom length,skirt line,material,fit,waist,detail,pattern,pocket,tpo,style
a-line skirt,A라인 스커트,skirt,,A-line,,,,,,,,
denim skirt,데님 스커트,skirt,,,denim,,,,,,,
leather skirt,가죽 스커트,skirt,,,"leather,suede",,,,,,,
formal skirt,정장 스커트,skirt,mini,pencil ,,,,,plain,,formal,
formal skirt,정장 스커트,skirt,half,pencil ,,,,,plain,,formal,
formal skirt,정장 스커트,skirt,3/4,pencil ,,,,,plain,,formal,
sportswear skirt,스포츠 스커트,skirt,,,,,,,,,sport,
knitted skirt,니트 스커트,skirt,,,ribbed,,,,,,,
knitted skirt,니트 스커트,skirt,,,knit,,,,,,,
tweed skirt,트위드 스커트,skirt,,,tweed,,,,,,,
wrap skirt,랩 스커트,skirt,,wrap,,,,,,,,
tiered skirt,티어드 스커트,skirt,,tierd,,,,,,,,
mermaid skirt,머메이드 스커트,skirt,,mermaid,,,,,,,,
pleated skirt,플리츠 스커트,skirt,,pleated,,,,,,,,
cargo skirt,카고 스커트,skirt,,,,,,,,cargo pocket,,
cargo skirt,카고 스커트,skirt,,,,,,,,flip pocket,,
cargo skirt,카고 스커트,skirt,,,,,,,,flip pocket,,