nickname,nickname_kor,outer,top length,fastening,pattern,sleeve length,collar,neckline,fit,pocket,material,tpo,detail,hood,sub closet type,material+hooded,material+collar
wool cardigans,울 가디건,cardigan,,,,,,,,,wool,,,,,,
knit cardigans,가디건,cardigan,,,,,,,,,knit,,,,,,
ribbed knit cardigan,골지 니트 가디건,cardigan,,,,,,,,,ribbed,,,,,,
fur cardigan,퍼 가디건,cardigan,,,,,,,,,fur,,,,,,
bolero cardigan,볼레로 가디건,cardigan,cropped,,,,,,,,,,,,,,
zip-up cardigan,집업 가디건,cardigan,,zipper,,,,,,,,,,,,,
short sleeve cardigan,반팔 가디건,cardigan,,,,short / elbow,,,,,,,,,,,
ribbon cardigan,리본 가디건,cardigan,,string,,,,,,,,,ribbon,,,,
parka,파카,jacket,,,,,,,,,padded,,,hooded,,fur,
puffer jacket,패딩,jacket,,,,,,,,,padded,,,,,,
fur jacket,퍼 자켓,jacket,,,,,,,,,fur,,,,,,
tweed jacket,트위드 자켓,jacket,,,,,,,,,tweed,,,,,,
shearling jacket,무스탕 자켓,jacket,,,,,,,,,leather,,,,,,fur
shearling jacket,무스탕 자켓,jacket,,,,,,,,,suede,,,,,,fur
suede jacket,스웨이드 자켓,jacket,,,,,,,,,suede,,,,,,
blouson jacket,블루종,jacket,,zipper,,,regular,,,,,,,,,,
coach jacket,코치 자켓,jacket,,button,,,regular,,,,,,,,,,
military jacket,밀리터리 자켓,jacket,,,camouflage,,,,,,,,,,,,
trucker jacket,데님 자켓,jacket,,,,,,,,,denim,,,,,,
corduroy jacket,코듀로이 자켓,jacket,,,,,,,,,corduroy,,,,,,
leather jacket,가죽 자켓,jacket,,,,,,,,,leather,,,,,,
windstoppers & softshells,바람막이,jacket,,,,,,,,,,,,,windstopper,,
track jacket,트렉 자켓,jacket,,,,,stand,,,,,sport,,,,,
blazer,블레이저,jacket,,,,,notched,,,,,formal,,,,,
bolero jacket,볼레로 자켓,jacket,cropped,,,,no collar,,,,,,,,,,
wool coat,울 코트,coat,,,,,,,,,wool,,,,,,
pea coat,피코트,coat,above the hip,double breasted,,,,,,,wool,,,,,,
pea coat,피코트,coat,hip,double breasted,,,,,,,wool,,,,,,
duffle coat,더플 코트,coat,,toggle,,,,,,,,,,hooded,,,
blamacaan coat,발마칸 코트,coat,,,,,regular collar,,,,wool,,,,,,
suede coat,스웨이드 코트,coat,,,,,,,,,suede,,,,,,
shearling coat,시어링 코트,coat,,,,,,,,,suede,,,,,,
fur coat,퍼 코트,coat,,,,,,,,,fur,,,,,,
puffer coat,롱 패딩,coat,knee,,,,,,,,padded,,,,,,
puffer coat,롱 패딩,coat,under the knee,,,,,,,,padded,,,,,,