superclass,superclass_kr,attribute,attribute_kr
outer,아우터,jacket,재킷
top,상의,coat,코트
skirt,스커트,cardigan,가디건
pants,바지,t-shirt,티셔츠
dress,원피스,shirt,셔츠
top_length,상의 기장,blouse,블라우스
bottom_length,하의 기장,top,탑
fastening,여밈,vest,베스트
breated,브레스티드,skirt,스커트
pattern,패턴,pants,팬츠
sleeve_length,소매 기장,jeans,청바지
collar,카라,leggings,레깅스
neckline,네크라인,dress,원피스
hood,후드,jumpsuit,점프수트
skirtline,스커트 라인,cropped,크롭
pantsline,팬츠 라인,above the hip,골반
fit,핏,hip,힙
waist,웨이스트,knee,무릎
detail,디테일,under the knee,무릎 밑
pocket,주머니,mini,미니
material,소재,half,무릎
tpo,tpo,3/4,7부
style,스타일,crop pants,크롭 팬츠
age,연령대,maxi,맥시
gender,성별,belt,벨트
sub_closet_type,기타 의류 속성,button,버튼
,,buckle,버클
,,toggle,토글
,,zipper,지퍼
,,string,스트링
,,wrap & knot,꼬임 장식
,,single breated,싱글 브레스티드
,,double breasted,더블 브레스티드
,,plain,무지 패턴
,,stripe,스트라이프 패턴
,,check,체크 패턴
,,floral,플로럴 패턴
,,dot,도트 패턴
,,camouflage,카모플라쥬 패턴
,,geometric & abstract,기하학 및 비정형 패턴
,,sleeveless,민소매
,,short sleeve,반팔
,,elbow,5부 소매
,,three quarter,7부 소매
,,long,긴팔
,,not identified,식별 불가
,,no collar,칼라리스
,,regular collar,레귤러 카라
,,notched collar,노치드 카라
,,polo,폴로 카라
,,stand collar,스탠드 카라
,,oversized collar,오버사이즈 카라
,,round,라운드넥
,,v-neck,브이넥
,,square,스퀘어넥
,,boat,보트넥
,,high-neck,하이넥
,,off shoulder,오프숄더
,,spaghetti strap,스파게티 스트랩
,,hooded,후드
,,A-lline,A라인 스커트
,,H-lline,H라인 스커트
,,mermaid,머메이드 스커트
,,pencil,펜슬 스커트
,,pleated,플리츠 스커트
,,fit & flare,핏 앤 플레어
,,tierd,티어드 스커트
,,wrap,랩 스커트
,,not identified,스커트 라인 식별 불가
,,slim,슬림 팬츠
,,straight,스트레이트 팬츠
,,flared / boot,부츠컷 팬츠
,,jogger,조거 팬츠
,,skinny,스키니 팬츠
,,wide leg,와이드 팬츠
,,not identified,팬츠 라인 식별 불가
,,tight,타이트핏
,,slim,슬림핏
,,regular,레귤러핏
,,loosed,루즈핏
,,oversized,오버사이즈핏
,,high waist,하이웨이스트
,,normal waist,미드웨이스트
,,low waist,로우웨이스트
,,logo,로고
,,shirring,셔링 장식
,,lace,레이스 장식
,,slit,슬릿
,,ribbon,리본
,,picture,그래픽
,,text,텍스트
,,cargo pocket,카고 포켓
,,flap pocket,플랩 포켓
,,normal pocket,포켓
,,ribbed,골지 니트
,,knit,니트
,,padded,패딩
,,mesh,메쉬
,,wool,펠트
,,tweed,트위드
,,denim,데님
,,fur,퍼
,,corduroy,코듀로이
,,suede,스웨이드
,,leather,레더
,,rubber,합성 PVC
,,casual,캐주얼
,,formal,포멀
,,home & lounge,라운지웨어
,,party,파티
,,sport,스포츠
,,suit,수트
,,set-up,셋업
,,adult,성인복
,,child,아동복
,,male,남성복
,,female,여성복
,,windstopper,바람막이
,,sweat pants,스웻팬츠
,,sweat shirt,스웻셔츠
,,slacks,슬랙스